Usuario: CRISTINA Data/Hora: 29-11-2012 (7:01) - Pedido: 1466 -   Acao = baixar_pedido -  
Usuario:  Data/Hora: 29-11-2012 (7:33) - Pedido: 1384 -   Acao = comprar_produto - Produto: 1059 
Usuario:  Data/Hora: 29-11-2012 (12:22) - Pedido: 1468 -   Acao = comprar_produto - Produto: 960 
Usuario:  Data/Hora: 29-11-2012 (12:22) - Pedido: 1468 -   Acao = comprar_produto - Produto: 607 
Usuario:  Data/Hora: 29-11-2012 (12:22) - Pedido: 1468 -   Acao = comprar_produto - Produto: 329 
Usuario:  Data/Hora: 29-11-2012 (12:22) - Pedido: 1467 -   Acao = comprar_produto - Produto: 815 
Usuario:  Data/Hora: 29-11-2012 (12:23) - Pedido: 1470 -   Acao = comprar_produto - Produto: 102 
Usuario:  Data/Hora: 29-11-2012 (12:23) - Pedido: 1470 -   Acao = comprar_produto - Produto: 109 
Usuario:  Data/Hora: 29-11-2012 (12:23) - Pedido: 1470 -   Acao = comprar_produto - Produto: 449 
Usuario:  Data/Hora: 29-11-2012 (12:23) - Pedido: 1470 -   Acao = comprar_produto - Produto: 108 
Usuario:  Data/Hora: 29-11-2012 (12:23) - Pedido: 1472 -   Acao = comprar_produto - Produto: 1173 
Usuario:  Data/Hora: 29-11-2012 (12:23) - Pedido: 1467 -   Acao = comprar_produto - Produto: 449 
